id,count
0,95.78
1,219.57
2,97.77
4,30.67
5,55.72
10,126.85
11,160.15
12,315.09
15,37.31
17,129.09
18,312.33
23,261.15
25,97.14
26,38.88
31,216.49
39,158.2
40,26.89
41,189.89
42,365.78
43,153.03
51,219.43
52,83.81
54,15.93
60,135.56
61,138.2
62,118.89
63,26.93
65,122.0
66,115.73
68,159.42
71,74.73
80,31.54
82,68.17
94,127.44
98,286.25
101,32.61
102,128.53
107,163.92
112,242.93
113,72.76
115,61.41
116,119.51
120,147.57
121,86.99
122,336.4
132,168.93
143,80.6
147,65.69
150,18.82
151,88.37
152,235.59
153,90.4
155,166.27
156,129.72
159,194.1
161,142.33
163,47.69
177,180.66
186,14.54
188,19.69
190,94.12
191,87.39
192,257.66
195,312.86
200,133.8
209,316.56
210,15.58
211,221.69
214,107.83
215,28.36
218,98.36
219,32.11
222,132.08
225,14.89
228,320.11
236,213.84
241,36.28
242,186.72
243,230.71
245,18.97
247,253.16
251,142.87
252,84.21
253,86.22
254,92.81
258,317.83
260,59.01
261,161.64
265,112.9
266,278.49
267,294.02
269,162.46
270,69.85
275,100.6
278,38.73
279,82.78
286,93.75
287,29.51
288,230.56
289,130.41
293,18.91
294,145.82
297,44.34
302,123.07
303,69.12
304,62.81
307,100.86
309,17.48
311,171.93
312,129.63
314,169.79
315,230.71
319,165.42
322,119.08
323,69.96
325,120.29
327,241.84
330,36.96
332,197.11
333,17.26
338,104.06
341,112.35
345,200.99
348,120.72
349,46.47
350,120.04
352,57.92
355,14.51
356,233.78
358,63.38
363,131.31
369,170.6
371,19.71
372,145.4
375,306.22
380,126.28
388,45.2
391,153.29
392,252.55
393,374.56
394,210.3
396,28.75
401,36.43
407,101.44
409,87.4
410,119.17
416,84.01
418,124.65
420,147.29
421,216.05
422,133.1
424,287.67
428,335.09
429,231.93
431,154.68
435,12.7
439,117.25
441,12.1
447,95.61
449,143.3
451,129.33
452,17.16
454,205.35
458,219.66
463,120.21
467,15.32
470,235.74
471,157.31
474,296.87
478,17.29
483,120.6
484,130.32
485,86.87
486,124.49
491,100.16
494,100.61
495,237.83
497,210.93
499,160.63
515,121.37
518,202.98
521,171.94
525,163.28
529,242.94
532,143.86
534,108.4
540,114.52
544,302.1
547,164.03
549,48.1
563,36.48
564,142.04
567,119.22
572,111.07
577,141.02
578,253.35
585,350.54
588,135.21
589,119.54
590,108.51
592,17.69
594,223.35
596,14.59
598,345.46
599,143.06
605,36.62
606,132.84
607,252.65
608,227.76
609,67.32
610,295.66
611,169.68
614,129.89
615,210.26
616,244.22
617,128.12
618,247.78
624,117.14
629,136.2
631,94.1
633,96.54
637,24.83
638,105.4
643,74.59
644,122.8
645,35.95
646,205.36
648,179.71
650,37.96
651,200.04
652,277.4
656,99.93
657,18.53
659,78.27
660,204.14
662,102.82
665,381.09
675,320.28
681,161.06
682,207.05
685,20.3
686,211.76
689,25.71
696,136.07
703,148.68
704,100.08
705,106.02
714,233.96
717,103.48
718,14.99
720,88.32
721,261.49
723,242.56
