id,count
0,96.07
1,216.5
2,90.96
4,29.62
5,47.65
10,121.37
11,153.64
12,320.02
15,38.74
17,129.61
18,297.37
23,242.89
25,94.94
26,36.95
31,205.4
39,160.55
40,27.38
41,183.1
42,367.9
43,156.16
51,220.99
52,81.04
54,16.13
60,141.04
61,140.97
62,114.29
63,29.45
65,116.28
66,113.35
68,149.47
71,75.45
80,30.26
82,68.58
94,132.62
98,266.19
101,33.06
102,132.69
107,166.78
112,243.99
113,72.14
115,61.21
116,119.76
120,156.78
121,86.78
122,333.9
132,205.04
143,85.97
147,66.78
150,18.4
151,87.03
152,217.68
153,91.12
155,163.57
156,120.56
159,191.99
161,128.63
163,45.61
177,175.12
186,14.32
188,19.48
190,90.2
191,85.52
192,268.24
195,314.33
200,154.26
209,314.28
210,15.7
211,225.54
214,141.79
215,25.39
218,100.75
219,30.88
222,125.11
225,15.65
228,318.75
236,224.63
241,36.72
242,181.26
243,226.23
245,18.6
247,246.5
251,127.47
252,87.28
253,84.3
254,92.9
258,325.79
260,55.45
261,174.63
265,115.62
266,273.45
267,299.33
269,155.01
270,70.11
275,99.38
278,34.74
279,85.03
286,97.51
287,28.92
288,217.05
289,150.53
293,17.77
294,147.55
297,42.38
302,119.8
303,64.29
304,52.52
307,99.96
309,17.18
311,172.46
312,134.64
314,182.6
315,234.99
319,166.54
322,116.0
323,70.5
325,120.28
327,234.1
330,33.83
332,199.6
333,17.07
338,99.12
341,104.98
345,188.75
348,109.0
349,45.1
350,115.28
352,58.15
355,15.05
356,232.26
358,62.62
363,131.28
369,165.32
371,19.13
372,136.82
375,299.53
380,130.07
388,44.92
391,140.75
392,256.46
393,374.96
394,207.91
396,28.07
401,36.27
407,108.53
409,86.68
410,117.11
416,85.26
418,120.32
420,150.34
421,233.62
422,126.43
424,289.28
428,336.77
429,228.47
431,162.69
435,11.98
439,110.98
441,11.91
447,97.36
449,142.75
451,138.97
452,16.62
454,207.99
458,225.41
463,122.31
467,14.72
470,249.3
471,158.83
474,288.73
478,16.08
483,122.4
484,123.18
485,86.54
486,127.88
491,99.24
494,98.82
495,229.83
497,203.38
499,165.15
515,112.06
518,215.84
521,172.11
525,162.96
529,250.93
532,144.75
534,112.31
540,114.97
544,293.53
547,166.68
549,44.63
563,36.73
564,142.0
567,121.78
572,108.82
577,125.79
578,260.21
585,348.13
588,141.23
589,119.13
590,103.18
592,17.07
594,237.28
596,14.52
598,352.02
599,145.65
605,34.44
606,129.8
607,248.04
608,217.02
609,67.86
610,283.56
611,173.45
614,130.47
615,212.48
616,240.8
617,127.04
618,239.95
624,118.3
629,133.89
631,96.34
633,94.51
637,24.62
638,107.27
643,70.26
644,147.05
645,33.77
646,209.58
648,182.49
650,37.51
651,196.36
652,265.07
656,109.22
657,18.39
659,80.9
660,203.92
662,100.98
665,380.39
675,321.08
681,154.47
682,201.42
685,19.9
686,212.87
689,24.02
696,139.42
703,146.63
704,96.99
705,133.81
714,230.56
717,99.52
718,14.57
720,87.45
721,248.09
723,237.92
726,195.28
728,144.48
730,202.1
731,27.2
734,343.53
737,75.27
738,17.49
745,163.13
746,26.45
749,234.8
752,24.97
753,176.7
758,235.18
765,16.58
766,224.97
768,88.72
769,182.56
774,129.31
775,104.54
781,55.67
784,328.74
794,18.56
795,274.47
796,84.43
802,166.78
803,220.96
805,31.72
806,284.92
807,104.0
809,15.99
810,166.7
812,193.42
814,116.22
818,248.1
819,133.76
825,71.83
836,97.91
839,117.5
847,257.12
848,171.96
851,113.49
852,134.56
853,32.93
857,144.55
858,43.08
859,223.09
861,21.58
867,99.96
870,210.2
871,209.54
872,220.2
874,355.31
881,195.86
886,136.86
890,62.22
895,162.51
899,88.71
900,275.39
901,260.67
902,241.72
903,42.3
913,256.45
918,196.84
923,129.23
924,36.28
926,26.51
927,18.75
930,218.58
934,29.87
937,135.0
939,109.39
941,92.86
942,378.86
946,272.49
950,98.8
953,86.03
959,101.67
961,27.2
962,97.73
964,106.94
969,182.61
971,152.1
976,42.58
978,242.1
980,230.81
981,143.54
990,369.67
993,19.51
996,20.96
998,329.39
999,181.58
1006,120.24
1008,14.95
1013,29.46
1015,98.34
1016,120.03
1022,300.56
1026,216.83
1028,230.72
1031,69.14
1034,55.45
1037,189.38
1040,65.8
1042,19.14
1046,18.57
1048,102.1
1049,109.49
1050,68.73
1051,215.86
1052,235.24
1055,191.0
1060,160.21
1064,26.72
1066,73.59
1071,99.76
1073,13.77
1089,210.59
1091,94.6
1092,73.5
1093,235.46
1096,312.44
1097,224.47
1098,18.32
1099,37.3
1102,184.48
1107,106.07
1109,42.06
1111,145.27
1112,113.61
1114,311.04
1116,286.58
1117,116.08
1118,80.29
1122,135.07
1124,158.91
1127,118.85
1133,222.77
1134,36.09
1135,152.91
1139,299.08
1143,56.26
1150,117.14
1151,110.01
1153,268.35
1155,26.96
1162,27.76
1163,215.79
1166,21.44
1171,84.84
1172,15.52
1173,248.49
1174,68.94
1177,117.62
1178,175.24
1184,179.74
1185,115.02
1186,116.53
1187,164.41
1188,276.96
